boat_name,mmsi
American Angler,367485000
Dolphin,367330940
Grande,366746210
Horizon,338776000
Independence,338795000
Intrepid,367704000
Islander,368406170
Legend,367600830
M/V Excel,338102000
Malihini,367146720
New Lo-An,338093000
New Seaforth,367076870
Ocean Odyssey,367025330
Old Glory,367629440
Pacific Queen,367186270
Pacifica,367785170
Polaris Supreme,303676000
Ranger 85,367044250
Red Rooster III,366749490
Royal Star,366447000
Sea Adventure 80,367441140
Searcher,367130150
Spirit of Adventure,367185130
Top Gun 80,368437000
